,corr
BMI^-1.5 *DiffWalk^2.5,0.1582743023055739
BMI^-1.5 *Sex^2.5,-0.013417133238346753
BMI^-1.5 *Age^2.5,0.054928039868913814
BMI^-1.5 *Education^2.5,-0.20223876013802294
BMI^-1.5 *Income^2.5,-0.21343170505505876
Smoker^-1.5 *Stroke^2.5,
Smoker^-1.5 *HeartDiseaseorAttack^2.5,
Smoker^-1.5 *PhysActivity^2.5,
Smoker^-1.5 *Fruits^2.5,
Smoker^-1.5 *Veggies^2.5,
Smoker^-1.5 *HvyAlcoholConsump^2.5,
Smoker^-1.5 *AnyHealthcare^2.5,
Smoker^-1.5 *NoDocbcCost^2.5,
Smoker^-1.5 *GenHlth^2.5,
Smoker^-1.5 *MentHlth^2.5,
Smoker^-1.5 *PhysHlth^2.5,
Smoker^-1.5 *DiffWalk^2.5,
Smoker^-1.5 *Sex^2.5,
Smoker^-1.5 *Age^2.5,
Smoker^-1.5 *Education^2.5,
Smoker^-1.5 *Income^2.5,
Stroke^-1.5 *HeartDiseaseorAttack^2.5,
Stroke^-1.5 *PhysActivity^2.5,
Stroke^-1.5 *Fruits^2.5,
Stroke^-1.5 *Veggies^2.5,
Stroke^-1.5 *HvyAlcoholConsump^2.5,
Stroke^-1.5 *AnyHealthcare^2.5,
Stroke^-1.5 *NoDocbcCost^2.5,
Stroke^-1.5 *GenHlth^2.5,
Stroke^-1.5 *MentHlth^2.5,
Stroke^-1.5 *PhysHlth^2.5,
Stroke^-1.5 *DiffWalk^2.5,
Stroke^-1.5 *Sex^2.5,
Stroke^-1.5 *Age^2.5,
Stroke^-1.5 *Education^2.5,
Stroke^-1.5 *Income^2.5,
HeartDiseaseorAttack^-1.5 *PhysActivity^2.5,
HeartDiseaseorAttack^-1.5 *Fruits^2.5,
HeartDiseaseorAttack^-1.5 *Veggies^2.5,
HeartDiseaseorAttack^-1.5 *HvyAlcoholConsump^2.5,
HeartDiseaseorAttack^-1.5 *AnyHealthcare^2.5,
HeartDiseaseorAttack^-1.5 *NoDocbcCost^2.5,
HeartDiseaseorAttack^-1.5 *GenHlth^2.5,
HeartDiseaseorAttack^-1.5 *MentHlth^2.5,
HeartDiseaseorAttack^-1.5 *PhysHlth^2.5,
HeartDiseaseorAttack^-1.5 *DiffWalk^2.5,
HeartDiseaseorAttack^-1.5 *Sex^2.5,
HeartDiseaseorAttack^-1.5 *Age^2.5,
HeartDiseaseorAttack^-1.5 *Education^2.5,
HeartDiseaseorAttack^-1.5 *Income^2.5,
PhysActivity^-1.5 *Fruits^2.5,
PhysActivity^-1.5 *Veggies^2.5,
PhysActivity^-1.5 *HvyAlcoholConsump^2.5,
PhysActivity^-1.5 *AnyHealthcare^2.5,
PhysActivity^-1.5 *NoDocbcCost^2.5,
PhysActivity^-1.5 *GenHlth^2.5,
PhysActivity^-1.5 *MentHlth^2.5,
PhysActivity^-1.5 *PhysHlth^2.5,
PhysActivity^-1.5 *DiffWalk^2.5,
PhysActivity^-1.5 *Sex^2.5,
PhysActivity^-1.5 *Age^2.5,
PhysActivity^-1.5 *Education^2.5,
PhysActivity^-1.5 *Income^2.5,
Fruits^-1.5 *Veggies^2.5,
Fruits^-1.5 *HvyAlcoholConsump^2.5,
Fruits^-1.5 *AnyHealthcare^2.5,
Fruits^-1.5 *NoDocbcCost^2.5,
Fruits^-1.5 *GenHlth^2.5,
Fruits^-1.5 *MentHlth^2.5,
Fruits^-1.5 *PhysHlth^2.5,
Fruits^-1.5 *DiffWalk^2.5,
Fruits^-1.5 *Sex^2.5,
Fruits^-1.5 *Age^2.5,
Fruits^-1.5 *Education^2.5,
Fruits^-1.5 *Income^2.5,
Veggies^-1.5 *HvyAlcoholConsump^2.5,
Veggies^-1.5 *AnyHealthcare^2.5,
Veggies^-1.5 *NoDocbcCost^2.5,
Veggies^-1.5 *GenHlth^2.5,
Veggies^-1.5 *MentHlth^2.5,
Veggies^-1.5 *PhysHlth^2.5,
Veggies^-1.5 *DiffWalk^2.5,
Veggies^-1.5 *Sex^2.5,
Veggies^-1.5 *Age^2.5,
Veggies^-1.5 *Education^2.5,
Veggies^-1.5 *Income^2.5,
HvyAlcoholConsump^-1.5 *AnyHealthcare^2.5,
HvyAlcoholConsump^-1.5 *NoDocbcCost^2.5,
HvyAlcoholConsump^-1.5 *GenHlth^2.5,
HvyAlcoholConsump^-1.5 *MentHlth^2.5,
HvyAlcoholConsump^-1.5 *PhysHlth^2.5,
HvyAlcoholConsump^-1.5 *DiffWalk^2.5,
HvyAlcoholConsump^-1.5 *Sex^2.5,
HvyAlcoholConsump^-1.5 *Age^2.5,
HvyAlcoholConsump^-1.5 *Education^2.5,
HvyAlcoholConsump^-1.5 *Income^2.5,
AnyHealthcare^-1.5 *NoDocbcCost^2.5,
AnyHealthcare^-1.5 *GenHlth^2.5,
AnyHealthcare^-1.5 *MentHlth^2.5,
AnyHealthcare^-1.5 *PhysHlth^2.5,
AnyHealthcare^-1.5 *DiffWalk^2.5,
AnyHealthcare^-1.5 *Sex^2.5,
AnyHealthcare^-1.5 *Age^2.5,
AnyHealthcare^-1.5 *Education^2.5,
AnyHealthcare^-1.5 *Income^2.5,
NoDocbcCost^-1.5 *GenHlth^2.5,
NoDocbcCost^-1.5 *MentHlth^2.5,
NoDocbcCost^-1.5 *PhysHlth^2.5,
NoDocbcCost^-1.5 *DiffWalk^2.5,
NoDocbcCost^-1.5 *Sex^2.5,
NoDocbcCost^-1.5 *Age^2.5,
NoDocbcCost^-1.5 *Education^2.5,
NoDocbcCost^-1.5 *Income^2.5,
GenHlth^-1.5 *MentHlth^2.5,0.0033090461322847374
GenHlth^-1.5 *PhysHlth^2.5,0.07303404938408858
GenHlth^-1.5 *DiffWalk^2.5,0.11993345647926952
GenHlth^-1.5 *Sex^2.5,-0.08460012865856316
GenHlth^-1.5 *Age^2.5,-0.0631867344623082
GenHlth^-1.5 *Education^2.5,-0.2079961093322093
GenHlth^-1.5 *Income^2.5,-0.20786515389419274
MentHlth^-1.5 *PhysHlth^2.5,
MentHlth^-1.5 *DiffWalk^2.5,
MentHlth^-1.5 *Sex^2.5,
MentHlth^-1.5 *Age^2.5,
MentHlth^-1.5 *Education^2.5,
MentHlth^-1.5 *Income^2.5,
PhysHlth^-1.5 *DiffWalk^2.5,
PhysHlth^-1.5 *Sex^2.5,
PhysHlth^-1.5 *Age^2.5,
PhysHlth^-1.5 *Education^2.5,
PhysHlth^-1.5 *Income^2.5,
DiffWalk^-1.5 *Sex^2.5,
DiffWalk^-1.5 *Age^2.5,
DiffWalk^-1.5 *Education^2.5,
DiffWalk^-1.5 *Income^2.5,
Sex^-1.5 *Age^2.5,
Sex^-1.5 *Education^2.5,
Sex^-1.5 *Income^2.5,
Age^-1.5 *Education^2.5,-0.12018257670277789
Age^-1.5 *Income^2.5,-0.12077180627017324
Education^-1.5 *Income^2.5,-0.11139530257955399
HighBP^-1.0 *HighChol^-3.0,
HighBP^-1.0 *CholCheck^-3.0,
HighBP^-1.0 *BMI^-3.0,
HighBP^-1.0 *Smoker^-3.0,
HighBP^-1.0 *Stroke^-3.0,
HighBP^-1.0 *HeartDiseaseorAttack^-3.0,
HighBP^-1.0 *PhysActivity^-3.0,
HighBP^-1.0 *Fruits^-3.0,
HighBP^-1.0 *Veggies^-3.0,
HighBP^-1.0 *HvyAlcoholConsump^-3.0,
HighBP^-1.0 *AnyHealthcare^-3.0,
HighBP^-1.0 *NoDocbcCost^-3.0,
HighBP^-1.0 *GenHlth^-3.0,
HighBP^-1.0 *MentHlth^-3.0,
HighBP^-1.0 *PhysHlth^-3.0,
HighBP^-1.0 *DiffWalk^-3.0,
HighBP^-1.0 *Sex^-3.0,
HighBP^-1.0 *Age^-3.0,
HighBP^-1.0 *Education^-3.0,
HighBP^-1.0 *Income^-3.0,
HighChol^-1.0 *CholCheck^-3.0,
HighChol^-1.0 *BMI^-3.0,
HighChol^-1.0 *Smoker^-3.0,
HighChol^-1.0 *Stroke^-3.0,
HighChol^-1.0 *HeartDiseaseorAttack^-3.0,
HighChol^-1.0 *PhysActivity^-3.0,
HighChol^-1.0 *Fruits^-3.0,
HighChol^-1.0 *Veggies^-3.0,
HighChol^-1.0 *HvyAlcoholConsump^-3.0,
HighChol^-1.0 *AnyHealthcare^-3.0,
HighChol^-1.0 *NoDocbcCost^-3.0,
HighChol^-1.0 *GenHlth^-3.0,
HighChol^-1.0 *MentHlth^-3.0,
HighChol^-1.0 *PhysHlth^-3.0,
HighChol^-1.0 *DiffWalk^-3.0,
HighChol^-1.0 *Sex^-3.0,
HighChol^-1.0 *Age^-3.0,
HighChol^-1.0 *Education^-3.0,
HighChol^-1.0 *Income^-3.0,
CholCheck^-1.0 *BMI^-3.0,
CholCheck^-1.0 *Smoker^-3.0,
CholCheck^-1.0 *Stroke^-3.0,
CholCheck^-1.0 *HeartDiseaseorAttack^-3.0,
CholCheck^-1.0 *PhysActivity^-3.0,
CholCheck^-1.0 *Fruits^-3.0,
CholCheck^-1.0 *Veggies^-3.0,
CholCheck^-1.0 *HvyAlcoholConsump^-3.0,
CholCheck^-1.0 *AnyHealthcare^-3.0,
CholCheck^-1.0 *NoDocbcCost^-3.0,
CholCheck^-1.0 *GenHlth^-3.0,
CholCheck^-1.0 *MentHlth^-3.0,
CholCheck^-1.0 *PhysHlth^-3.0,
CholCheck^-1.0 *DiffWalk^-3.0,
CholCheck^-1.0 *Sex^-3.0,
CholCheck^-1.0 *Age^-3.0,
CholCheck^-1.0 *Education^-3.0,
CholCheck^-1.0 *Income^-3.0,
BMI^-1.0 *Smoker^-3.0,
BMI^-1.0 *Stroke^-3.0,
BMI^-1.0 *HeartDiseaseorAttack^-3.0,
BMI^-1.0 *PhysActivity^-3.0,
BMI^-1.0 *Fruits^-3.0,
BMI^-1.0 *Veggies^-3.0,
BMI^-1.0 *HvyAlcoholConsump^-3.0,
BMI^-1.0 *AnyHealthcare^-3.0,
BMI^-1.0 *NoDocbcCost^-3.0,
BMI^-1.0 *GenHlth^-3.0,-0.18359324661835527
BMI^-1.0 *MentHlth^-3.0,
BMI^-1.0 *PhysHlth^-3.0,
BMI^-1.0 *DiffWalk^-3.0,
BMI^-1.0 *Sex^-3.0,
BMI^-1.0 *Age^-3.0,-0.06890963438932937
BMI^-1.0 *Education^-3.0,0.038748857295835853
BMI^-1.0 *Income^-3.0,0.054305513347110874
Smoker^-1.0 *Stroke^-3.0,
Smoker^-1.0 *HeartDiseaseorAttack^-3.0,
Smoker^-1.0 *PhysActivity^-3.0,
Smoker^-1.0 *Fruits^-3.0,
Smoker^-1.0 *Veggies^-3.0,
Smoker^-1.0 *HvyAlcoholConsump^-3.0,
Smoker^-1.0 *AnyHealthcare^-3.0,
Smoker^-1.0 *NoDocbcCost^-3.0,
Smoker^-1.0 *GenHlth^-3.0,
Smoker^-1.0 *MentHlth^-3.0,
Smoker^-1.0 *PhysHlth^-3.0,
Smoker^-1.0 *DiffWalk^-3.0,
Smoker^-1.0 *Sex^-3.0,
Smoker^-1.0 *Age^-3.0,
Smoker^-1.0 *Education^-3.0,
Smoker^-1.0 *Income^-3.0,
Stroke^-1.0 *HeartDiseaseorAttack^-3.0,
Stroke^-1.0 *PhysActivity^-3.0,
Stroke^-1.0 *Fruits^-3.0,
Stroke^-1.0 *Veggies^-3.0,
Stroke^-1.0 *HvyAlcoholConsump^-3.0,
Stroke^-1.0 *AnyHealthcare^-3.0,
Stroke^-1.0 *NoDocbcCost^-3.0,
Stroke^-1.0 *GenHlth^-3.0,
Stroke^-1.0 *MentHlth^-3.0,
Stroke^-1.0 *PhysHlth^-3.0,
Stroke^-1.0 *DiffWalk^-3.0,
Stroke^-1.0 *Sex^-3.0,
Stroke^-1.0 *Age^-3.0,
Stroke^-1.0 *Education^-3.0,
Stroke^-1.0 *Income^-3.0,
HeartDiseaseorAttack^-1.0 *PhysActivity^-3.0,
HeartDiseaseorAttack^-1.0 *Fruits^-3.0,
HeartDiseaseorAttack^-1.0 *Veggies^-3.0,
HeartDiseaseorAttack^-1.0 *HvyAlcoholConsump^-3.0,
HeartDiseaseorAttack^-1.0 *AnyHealthcare^-3.0,
HeartDiseaseorAttack^-1.0 *NoDocbcCost^-3.0,
HeartDiseaseorAttack^-1.0 *GenHlth^-3.0,
HeartDiseaseorAttack^-1.0 *MentHlth^-3.0,
HeartDiseaseorAttack^-1.0 *PhysHlth^-3.0,
HeartDiseaseorAttack^-1.0 *DiffWalk^-3.0,
HeartDiseaseorAttack^-1.0 *Sex^-3.0,
HeartDiseaseorAttack^-1.0 *Age^-3.0,
HeartDiseaseorAttack^-1.0 *Education^-3.0,
HeartDiseaseorAttack^-1.0 *Income^-3.0,
PhysActivity^-1.0 *Fruits^-3.0,
PhysActivity^-1.0 *Veggies^-3.0,
PhysActivity^-1.0 *HvyAlcoholConsump^-3.0,
PhysActivity^-1.0 *AnyHealthcare^-3.0,
PhysActivity^-1.0 *NoDocbcCost^-3.0,
PhysActivity^-1.0 *GenHlth^-3.0,
PhysActivity^-1.0 *MentHlth^-3.0,
PhysActivity^-1.0 *PhysHlth^-3.0,
PhysActivity^-1.0 *DiffWalk^-3.0,
PhysActivity^-1.0 *Sex^-3.0,
PhysActivity^-1.0 *Age^-3.0,
PhysActivity^-1.0 *Education^-3.0,
PhysActivity^-1.0 *Income^-3.0,
Fruits^-1.0 *Veggies^-3.0,
Fruits^-1.0 *HvyAlcoholConsump^-3.0,
Fruits^-1.0 *AnyHealthcare^-3.0,
Fruits^-1.0 *NoDocbcCost^-3.0,
Fruits^-1.0 *GenHlth^-3.0,
Fruits^-1.0 *MentHlth^-3.0,
Fruits^-1.0 *PhysHlth^-3.0,
Fruits^-1.0 *DiffWalk^-3.0,
Fruits^-1.0 *Sex^-3.0,
Fruits^-1.0 *Age^-3.0,
Fruits^-1.0 *Education^-3.0,
Fruits^-1.0 *Income^-3.0,
Veggies^-1.0 *HvyAlcoholConsump^-3.0,
Veggies^-1.0 *AnyHealthcare^-3.0,
Veggies^-1.0 *NoDocbcCost^-3.0,
Veggies^-1.0 *GenHlth^-3.0,
Veggies^-1.0 *MentHlth^-3.0,
Veggies^-1.0 *PhysHlth^-3.0,
Veggies^-1.0 *DiffWalk^-3.0,
Veggies^-1.0 *Sex^-3.0,
Veggies^-1.0 *Age^-3.0,
Veggies^-1.0 *Education^-3.0,
Veggies^-1.0 *Income^-3.0,
HvyAlcoholConsump^-1.0 *AnyHealthcare^-3.0,
HvyAlcoholConsump^-1.0 *NoDocbcCost^-3.0,
HvyAlcoholConsump^-1.0 *GenHlth^-3.0,
HvyAlcoholConsump^-1.0 *MentHlth^-3.0,
HvyAlcoholConsump^-1.0 *PhysHlth^-3.0,
HvyAlcoholConsump^-1.0 *DiffWalk^-3.0,
HvyAlcoholConsump^-1.0 *Sex^-3.0,
HvyAlcoholConsump^-1.0 *Age^-3.0,
HvyAlcoholConsump^-1.0 *Education^-3.0,
HvyAlcoholConsump^-1.0 *Income^-3.0,
AnyHealthcare^-1.0 *NoDocbcCost^-3.0,
AnyHealthcare^-1.0 *GenHlth^-3.0,
AnyHealthcare^-1.0 *MentHlth^-3.0,
AnyHealthcare^-1.0 *PhysHlth^-3.0,
AnyHealthcare^-1.0 *DiffWalk^-3.0,
AnyHealthcare^-1.0 *Sex^-3.0,
AnyHealthcare^-1.0 *Age^-3.0,
AnyHealthcare^-1.0 *Education^-3.0,
AnyHealthcare^-1.0 *Income^-3.0,
NoDocbcCost^-1.0 *GenHlth^-3.0,
NoDocbcCost^-1.0 *MentHlth^-3.0,
NoDocbcCost^-1.0 *PhysHlth^-3.0,
NoDocbcCost^-1.0 *DiffWalk^-3.0,
NoDocbcCost^-1.0 *Sex^-3.0,
NoDocbcCost^-1.0 *Age^-3.0,
NoDocbcCost^-1.0 *Education^-3.0,
NoDocbcCost^-1.0 *Income^-3.0,
GenHlth^-1.0 *MentHlth^-3.0,
GenHlth^-1.0 *PhysHlth^-3.0,
GenHlth^-1.0 *DiffWalk^-3.0,
GenHlth^-1.0 *Sex^-3.0,
GenHlth^-1.0 *Age^-3.0,-0.06602558874408733
GenHlth^-1.0 *Education^-3.0,-0.0011137643061686813
GenHlth^-1.0 *Income^-3.0,0.030778847963262558
MentHlth^-1.0 *PhysHlth^-3.0,
MentHlth^-1.0 *DiffWalk^-3.0,
MentHlth^-1.0 *Sex^-3.0,
MentHlth^-1.0 *Age^-3.0,
MentHlth^-1.0 *Education^-3.0,
MentHlth^-1.0 *Income^-3.0,
PhysHlth^-1.0 *DiffWalk^-3.0,
PhysHlth^-1.0 *Sex^-3.0,
PhysHlth^-1.0 *Age^-3.0,
PhysHlth^-1.0 *Education^-3.0,
PhysHlth^-1.0 *Income^-3.0,
DiffWalk^-1.0 *Sex^-3.0,
DiffWalk^-1.0 *Age^-3.0,
DiffWalk^-1.0 *Education^-3.0,
DiffWalk^-1.0 *Income^-3.0,
Sex^-1.0 *Age^-3.0,
Sex^-1.0 *Education^-3.0,
Sex^-1.0 *Income^-3.0,
Age^-1.0 *Education^-3.0,0.0006372733596185721
Age^-1.0 *Income^-3.0,0.0118002828095347
Education^-1.0 *Income^-3.0,0.08084056477744805
HighBP^-1.0 *HighChol^-2.5,
HighBP^-1.0 *CholCheck^-2.5,
HighBP^-1.0 *BMI^-2.5,
HighBP^-1.0 *Smoker^-2.5,
HighBP^-1.0 *Stroke^-2.5,
HighBP^-1.0 *HeartDiseaseorAttack^-2.5,
HighBP^-1.0 *PhysActivity^-2.5,
HighBP^-1.0 *Fruits^-2.5,
HighBP^-1.0 *Veggies^-2.5,
HighBP^-1.0 *HvyAlcoholConsump^-2.5,
HighBP^-1.0 *AnyHealthcare^-2.5,
HighBP^-1.0 *NoDocbcCost^-2.5,
HighBP^-1.0 *GenHlth^-2.5,
HighBP^-1.0 *MentHlth^-2.5,
HighBP^-1.0 *PhysHlth^-2.5,
HighBP^-1.0 *DiffWalk^-2.5,
HighBP^-1.0 *Sex^-2.5,
HighBP^-1.0 *Age^-2.5,
HighBP^-1.0 *Education^-2.5,
HighBP^-1.0 *Income^-2.5,
HighChol^-1.0 *CholCheck^-2.5,
HighChol^-1.0 *BMI^-2.5,
HighChol^-1.0 *Smoker^-2.5,
HighChol^-1.0 *Stroke^-2.5,
HighChol^-1.0 *HeartDiseaseorAttack^-2.5,
HighChol^-1.0 *PhysActivity^-2.5,
HighChol^-1.0 *Fruits^-2.5,
HighChol^-1.0 *Veggies^-2.5,
HighChol^-1.0 *HvyAlcoholConsump^-2.5,
HighChol^-1.0 *AnyHealthcare^-2.5,
HighChol^-1.0 *NoDocbcCost^-2.5,
HighChol^-1.0 *GenHlth^-2.5,
HighChol^-1.0 *MentHlth^-2.5,
HighChol^-1.0 *PhysHlth^-2.5,
HighChol^-1.0 *DiffWalk^-2.5,
HighChol^-1.0 *Sex^-2.5,
HighChol^-1.0 *Age^-2.5,
HighChol^-1.0 *Education^-2.5,
HighChol^-1.0 *Income^-2.5,
CholCheck^-1.0 *BMI^-2.5,
CholCheck^-1.0 *Smoker^-2.5,
CholCheck^-1.0 *Stroke^-2.5,
CholCheck^-1.0 *HeartDiseaseorAttack^-2.5,
CholCheck^-1.0 *PhysActivity^-2.5,
CholCheck^-1.0 *Fruits^-2.5,
CholCheck^-1.0 *Veggies^-2.5,
CholCheck^-1.0 *HvyAlcoholConsump^-2.5,
CholCheck^-1.0 *AnyHealthcare^-2.5,
CholCheck^-1.0 *NoDocbcCost^-2.5,
CholCheck^-1.0 *GenHlth^-2.5,
CholCheck^-1.0 *MentHlth^-2.5,
CholCheck^-1.0 *PhysHlth^-2.5,
CholCheck^-1.0 *DiffWalk^-2.5,
CholCheck^-1.0 *Sex^-2.5,
CholCheck^-1.0 *Age^-2.5,
CholCheck^-1.0 *Education^-2.5,
CholCheck^-1.0 *Income^-2.5,
BMI^-1.0 *Smoker^-2.5,
BMI^-1.0 *Stroke^-2.5,
BMI^-1.0 *HeartDiseaseorAttack^-2.5,
BMI^-1.0 *PhysActivity^-2.5,
BMI^-1.0 *Fruits^-2.5,
BMI^-1.0 *Veggies^-2.5,
BMI^-1.0 *HvyAlcoholConsump^-2.5,
BMI^-1.0 *AnyHealthcare^-2.5,
BMI^-1.0 *NoDocbcCost^-2.5,
BMI^-1.0 *GenHlth^-2.5,-0.19467324913646447
BMI^-1.0 *MentHlth^-2.5,
BMI^-1.0 *PhysHlth^-2.5,
BMI^-1.0 *DiffWalk^-2.5,
BMI^-1.0 *Sex^-2.5,
BMI^-1.0 *Age^-2.5,-0.07729219661396972
BMI^-1.0 *Education^-2.5,0.041754561810917176
BMI^-1.0 *Income^-2.5,0.05839339398150409
Smoker^-1.0 *Stroke^-2.5,
Smoker^-1.0 *HeartDiseaseorAttack^-2.5,
Smoker^-1.0 *PhysActivity^-2.5,
Smoker^-1.0 *Fruits^-2.5,
Smoker^-1.0 *Veggies^-2.5,
Smoker^-1.0 *HvyAlcoholConsump^-2.5,
Smoker^-1.0 *AnyHealthcare^-2.5,
Smoker^-1.0 *NoDocbcCost^-2.5,
Smoker^-1.0 *GenHlth^-2.5,
Smoker^-1.0 *MentHlth^-2.5,
Smoker^-1.0 *PhysHlth^-2.5,
Smoker^-1.0 *DiffWalk^-2.5,
Smoker^-1.0 *Sex^-2.5,
Smoker^-1.0 *Age^-2.5,
Smoker^-1.0 *Education^-2.5,
Smoker^-1.0 *Income^-2.5,
Stroke^-1.0 *HeartDiseaseorAttack^-2.5,
Stroke^-1.0 *PhysActivity^-2.5,
Stroke^-1.0 *Fruits^-2.5,
Stroke^-1.0 *Veggies^-2.5,
Stroke^-1.0 *HvyAlcoholConsump^-2.5,
Stroke^-1.0 *AnyHealthcare^-2.5,
Stroke^-1.0 *NoDocbcCost^-2.5,
Stroke^-1.0 *GenHlth^-2.5,
Stroke^-1.0 *MentHlth^-2.5,
Stroke^-1.0 *PhysHlth^-2.5,
Stroke^-1.0 *DiffWalk^-2.5,
Stroke^-1.0 *Sex^-2.5,
Stroke^-1.0 *Age^-2.5,
Stroke^-1.0 *Education^-2.5,
Stroke^-1.0 *Income^-2.5,
HeartDiseaseorAttack^-1.0 *PhysActivity^-2.5,
HeartDiseaseorAttack^-1.0 *Fruits^-2.5,
HeartDiseaseorAttack^-1.0 *Veggies^-2.5,
HeartDiseaseorAttack^-1.0 *HvyAlcoholConsump^-2.5,
HeartDiseaseorAttack^-1.0 *AnyHealthcare^-2.5,
HeartDiseaseorAttack^-1.0 *NoDocbcCost^-2.5,
HeartDiseaseorAttack^-1.0 *GenHlth^-2.5,
HeartDiseaseorAttack^-1.0 *MentHlth^-2.5,
HeartDiseaseorAttack^-1.0 *PhysHlth^-2.5,
HeartDiseaseorAttack^-1.0 *DiffWalk^-2.5,
HeartDiseaseorAttack^-1.0 *Sex^-2.5,
HeartDiseaseorAttack^-1.0 *Age^-2.5,
HeartDiseaseorAttack^-1.0 *Education^-2.5,
HeartDiseaseorAttack^-1.0 *Income^-2.5,
PhysActivity^-1.0 *Fruits^-2.5,
PhysActivity^-1.0 *Veggies^-2.5,
PhysActivity^-1.0 *HvyAlcoholConsump^-2.5,
PhysActivity^-1.0 *AnyHealthcare^-2.5,
PhysActivity^-1.0 *NoDocbcCost^-2.5,
PhysActivity^-1.0 *GenHlth^-2.5,
PhysActivity^-1.0 *MentHlth^-2.5,
PhysActivity^-1.0 *PhysHlth^-2.5,
PhysActivity^-1.0 *DiffWalk^-2.5,
PhysActivity^-1.0 *Sex^-2.5,
PhysActivity^-1.0 *Age^-2.5,
PhysActivity^-1.0 *Education^-2.5,
PhysActivity^-1.0 *Income^-2.5,
Fruits^-1.0 *Veggies^-2.5,
Fruits^-1.0 *HvyAlcoholConsump^-2.5,
Fruits^-1.0 *AnyHealthcare^-2.5,
Fruits^-1.0 *NoDocbcCost^-2.5,
Fruits^-1.0 *GenHlth^-2.5,
Fruits^-1.0 *MentHlth^-2.5,
Fruits^-1.0 *PhysHlth^-2.5,
Fruits^-1.0 *DiffWalk^-2.5,
Fruits^-1.0 *Sex^-2.5,
Fruits^-1.0 *Age^-2.5,
Fruits^-1.0 *Education^-2.5,
Fruits^-1.0 *Income^-2.5,
Veggies^-1.0 *HvyAlcoholConsump^-2.5,
Veggies^-1.0 *AnyHealthcare^-2.5,
Veggies^-1.0 *NoDocbcCost^-2.5,
Veggies^-1.0 *GenHlth^-2.5,
Veggies^-1.0 *MentHlth^-2.5,
Veggies^-1.0 *PhysHlth^-2.5,
Veggies^-1.0 *DiffWalk^-2.5,
Veggies^-1.0 *Sex^-2.5,
Veggies^-1.0 *Age^-2.5,
Veggies^-1.0 *Education^-2.5,
Veggies^-1.0 *Income^-2.5,
HvyAlcoholConsump^-1.0 *AnyHealthcare^-2.5,
HvyAlcoholConsump^-1.0 *NoDocbcCost^-2.5,
HvyAlcoholConsump^-1.0 *GenHlth^-2.5,
HvyAlcoholConsump^-1.0 *MentHlth^-2.5,
HvyAlcoholConsump^-1.0 *PhysHlth^-2.5,
HvyAlcoholConsump^-1.0 *DiffWalk^-2.5,
HvyAlcoholConsump^-1.0 *Sex^-2.5,
HvyAlcoholConsump^-1.0 *Age^-2.5,
HvyAlcoholConsump^-1.0 *Education^-2.5,
HvyAlcoholConsump^-1.0 *Income^-2.5,
AnyHealthcare^-1.0 *NoDocbcCost^-2.5,
AnyHealthcare^-1.0 *GenHlth^-2.5,
AnyHealthcare^-1.0 *MentHlth^-2.5,
AnyHealthcare^-1.0 *PhysHlth^-2.5,
AnyHealthcare^-1.0 *DiffWalk^-2.5,
AnyHealthcare^-1.0 *Sex^-2.5,
AnyHealthcare^-1.0 *Age^-2.5,
AnyHealthcare^-1.0 *Education^-2.5,
AnyHealthcare^-1.0 *Income^-2.5,
NoDocbcCost^-1.0 *GenHlth^-2.5,
NoDocbcCost^-1.0 *MentHlth^-2.5,
NoDocbcCost^-1.0 *PhysHlth^-2.5,
NoDocbcCost^-1.0 *DiffWalk^-2.5,
NoDocbcCost^-1.0 *Sex^-2.5,
NoDocbcCost^-1.0 *Age^-2.5,
NoDocbcCost^-1.0 *Education^-2.5,
NoDocbcCost^-1.0 *Income^-2.5,
GenHlth^-1.0 *MentHlth^-2.5,
GenHlth^-1.0 *PhysHlth^-2.5,
GenHlth^-1.0 *DiffWalk^-2.5,
GenHlth^-1.0 *Sex^-2.5,
GenHlth^-1.0 *Age^-2.5,-0.07545925062246993
GenHlth^-1.0 *Education^-2.5,-0.02412702110275783
GenHlth^-1.0 *Income^-2.5,0.03063489600894238
MentHlth^-1.0 *PhysHlth^-2.5,
MentHlth^-1.0 *DiffWalk^-2.5,
MentHlth^-1.0 *Sex^-2.5,
MentHlth^-1.0 *Age^-2.5,
MentHlth^-1.0 *Education^-2.5,
MentHlth^-1.0 *Income^-2.5,
PhysHlth^-1.0 *DiffWalk^-2.5,
PhysHlth^-1.0 *Sex^-2.5,
PhysHlth^-1.0 *Age^-2.5,
PhysHlth^-1.0 *Education^-2.5,
PhysHlth^-1.0 *Income^-2.5,
DiffWalk^-1.0 *Sex^-2.5,
DiffWalk^-1.0 *Age^-2.5,
DiffWalk^-1.0 *Education^-2.5,
DiffWalk^-1.0 *Income^-2.5,
Sex^-1.0 *Age^-2.5,
Sex^-1.0 *Education^-2.5,
Sex^-1.0 *Income^-2.5,
Age^-1.0 *Education^-2.5,-0.015214145798079958
Age^-1.0 *Income^-2.5,0.011342299255034034
Education^-1.0 *Income^-2.5,0.08772794690928153
HighBP^-1.0 *HighChol^-2.0,
HighBP^-1.0 *CholCheck^-2.0,
HighBP^-1.0 *BMI^-2.0,
HighBP^-1.0 *Smoker^-2.0,
HighBP^-1.0 *Stroke^-2.0,
HighBP^-1.0 *HeartDiseaseorAttack^-2.0,
